h,demand,cf_wind,cf_solar,cf_gas
h72,16932.3,0.305,0.0,1.0
h73,15745.4,0.374,0.031,1.0
h74,17293.1,0.368,0.0,1.0
h75,14386.4,0.23,0.014,1.0
h76,17720.5,0.213,0.043,1.0
h77,17810.4,0.382,0.007,1.0
h78,18226.4,0.369,0.0,1.0
h79,19258.2,0.324,0.006,1.0
h80,18255.4,0.226,0.25,1.0
h81,20223.2,0.396,0.516,1.0
h82,21089.6,0.46,0.686,1.0
h83,22211.3,0.381,0.813,1.0
h84,20640.5,0.291,0.956,1.0
h85,20230.0,0.363,0.995,1.0
h86,20101.0,0.25,0.885,1.0
h87,20686.1,0.444,0.876,1.0
h88,19527.5,0.366,0.688,1.0
h89,18054.0,0.218,0.488,1.0
h90,18054.3,0.335,0.278,1.0
h91,16892.9,0.397,0.0,1.0
h92,16820.1,0.333,0.029,1.0
h93,14820.9,0.338,0.0,1.0
h94,14606.5,0.262,0.0,1.0
h95,14221.5,0.405,0.0,1.0
h96,13230.3,0.308,0.017,1.0
h97,14709.3,0.188,0.0,1.0
h98,14949.4,0.331,0.048,1.0
h99,15188.2,0.439,0.036,1.0
h100,15581.8,0.33,0.04,1.0
h101,15321.3,0.5,0.004,1.0
h102,16850.2,0.395,0.008,1.0
h103,17641.6,0.388,0.0,1.0
h104,17946.3,0.351,0.278,1.0
h105,19026.1,0.356,0.492,1.0
h106,19898.5,0.34,0.696,1.0
h107,21326.2,0.337,0.883,1.0
h108,20001.7,0.404,0.91,1.0
h109,19910.1,0.287,0.957,1.0
h110,19292.0,0.276,0.938,1.0
h111,17291.5,0.272,0.804,1.0
h112,18141.1,0.526,0.674,1.0
h113,17450.6,0.404,0.495,1.0
h114,18567.0,0.386,0.239,1.0
h115,15643.7,0.278,0.039,1.0
h116,15299.8,0.412,0.0,1.0
h117,14400.6,0.353,0.034,1.0
h118,13013.3,0.38,0.02,1.0
h119,14564.0,0.285,0.0,1.0
h120,14153.7,0.376,0.0,1.0
h121,14293.7,0.329,0.0,1.0
h122,13240.1,0.302,0.0,1.0
h123,15573.1,0.422,0.031,1.0
h124,13955.5,0.24,0.0,1.0
h125,16272.3,0.408,0.035,1.0
h126,18330.8,0.418,0.0,1.0
h127,16558.6,0.293,0.021,1.0
h128,17614.6,0.298,0.228,1.0
h129,18759.3,0.346,0.453,1.0
h130,18742.6,0.386,0.678,1.0
h131,18193.1,0.352,0.814,1.0
h132,19580.0,0.399,0.884,1.0
h133,18564.5,0.505,0.958,1.0
h134,19488.5,0.324,0.934,1.0
h135,17897.0,0.227,0.873,1.0
h136,19256.6,0.431,0.71,1.0
h137,16678.5,0.499,0.519,1.0
h138,16290.1,0.396,0.271,1.0
h139,16448.4,0.278,0.01,1.0
h140,14122.6,0.355,0.0,1.0
h141,14707.6,0.276,0.004,1.0
h142,15139.7,0.417,0.018,1.0
h143,12557.8,0.257,0.044,1.0
h144,13941.8,0.341,0.021,1.0
h145,14158.4,0.285,0.037,1.0
h146,14930.0,0.376,0.0,1.0
h147,13845.0,0.336,0.0,1.0
h148,14450.5,0.38,0.013,1.0
h149,16695.9,0.368,0.035,1.0
h150,17336.6,0.287,0.0,1.0
h151,18116.1,0.416,0.0,1.0
h152,18953.0,0.362,0.271,1.0
h153,18786.4,0.287,0.449,1.0
h154,20023.7,0.546,0.731,1.0
h155,20401.3,0.405,0.81,1.0
h156,19726.6,0.354,0.876,1.0
h157,21718.6,0.48,0.967,1.0
h158,20337.7,0.514,0.985,1.0
h159,18564.8,0.355,0.855,1.0
h160,19462.3,0.395,0.706,1.0
h161,17479.5,0.288,0.485,1.0
h162,18164.0,0.355,0.246,1.0
h163,17742.1,0.351,0.0,1.0
h164,15498.0,0.382,0.0,1.0
h165,16371.8,0.394,0.006,1.0
h166,15526.4,0.412,0.039,1.0
h167,15628.7,0.387,0.01,1.0
h168,16462.3,0.271,0.019,1.0
h169,14926.9,0.293,0.048,1.0
h170,14894.6,0.324,0.01,1.0
h171,15334.6,0.346,0.0,1.0
h172,16082.9,0.452,0.0,1.0
h173,17460.5,0.275,0.061,1.0
h174,18629.2,0.34,0.016,1.0
h175,19406.1,0.445,0.0,1.0
h176,20616.5,0.345,0.216,1.0
h177,20627.9,0.406,0.522,1.0
h178,22294.2,0.358,0.654,1.0
h179,21253.1,0.39,0.895,1.0
h180,23775.0,0.351,0.853,1.0
h181,22028.1,0.423,1.0,1.0
h182,20573.7,0.246,0.951,1.0
h183,19959.2,0.34,0.843,1.0
h184,20616.5,0.393,0.68,1.0
h185,19367.6,0.412,0.542,1.0
h186,19384.5,0.489,0.272,1.0
h187,18462.8,0.339,0.0,1.0
h188,17353.6,0.488,0.0,1.0
h189,16167.5,0.317,0.005,1.0
h190,15212.9,0.477,0.0,1.0
h191,15825.5,0.436,0.0,1.0
h192,16823.1,0.297,0.0,1.0
h193,16467.2,0.395,0.0,1.0
h194,15651.8,0.367,0.0,1.0
h195,17312.0,0.421,0.022,1.0
h196,18145.9,0.353,0.045,1.0
h197,17890.5,0.346,0.027,1.0
h198,19526.6,0.481,0.0,1.0
h199,20249.0,0.363,0.011,1.0
h200,20027.0,0.437,0.253,1.0
h201,21857.9,0.353,0.446,1.0
h202,22500.4,0.505,0.699,1.0
h203,23216.7,0.317,0.897,1.0
h204,23290.9,0.323,0.94,1.0
h205,21237.0,0.494,0.924,1.0
h206,21282.1,0.336,0.94,1.0
h207,21961.1,0.5,0.805,1.0
h208,21334.0,0.443,0.713,1.0
h209,20609.3,0.36,0.502,1.0
h210,22503.7,0.227,0.247,1.0
h211,19105.7,0.371,0.0,1.0
h212,18840.9,0.381,0.0,1.0
h213,18083.6,0.466,0.0,1.0
h214,17375.8,0.5,0.0,1.0
h215,16314.2,0.318,0.0,1.0
h216,17082.0,0.437,0.034,1.0
h217,15967.4,0.434,0.0,1.0
h218,16700.9,0.459,0.005,1.0
h219,16979.2,0.413,0.009,1.0
h220,18048.9,0.218,0.01,1.0
h221,20546.6,0.361,0.0,1.0
h222,17958.5,0.281,0.0,1.0
h223,20751.4,0.358,0.0,1.0
h224,19602.6,0.452,0.264,1.0
h225,21096.9,0.398,0.465,1.0
h226,22777.2,0.466,0.678,1.0
h227,22207.6,0.401,0.907,1.0
h228,21343.7,0.27,0.886,1.0
h229,21477.3,0.173,0.952,1.0
h230,22239.1,0.386,0.998,1.0
h231,20581.1,0.357,0.843,1.0
h232,20666.3,0.297,0.668,1.0
h233,19758.1,0.239,0.522,1.0
h234,18379.7,0.316,0.254,1.0
h235,19799.4,0.359,0.0,1.0
h236,17831.3,0.428,0.006,1.0
h237,15049.5,0.39,0.0,1.0
h238,16311.3,0.504,0.0,1.0
h239,15303.7,0.293,0.0,1.0
h240,16383.8,0.446,0.0,1.0
h241,15140.0,0.379,0.0,1.0
h242,15949.6,0.431,0.011,1.0
h243,16886.1,0.341,0.026,1.0
h244,17755.6,0.462,0.034,1.0
h245,16780.5,0.4,0.0,1.0
h246,18198.1,0.322,0.015,1.0
h247,18804.8,0.375,0.015,1.0
h248,19322.8,0.357,0.262,1.0
h249,21811.3,0.416,0.474,1.0
h250,21127.9,0.282,0.66,1.0
h251,20020.2,0.374,0.861,1.0
h252,21789.4,0.408,0.892,1.0
h253,22574.5,0.38,0.969,1.0
h254,21328.4,0.485,0.867,1.0
h255,18738.3,0.439,0.806,1.0
h256,18877.1,0.377,0.664,1.0
h257,19491.4,0.395,0.521,1.0
h258,17077.6,0.401,0.274,1.0
h259,17170.3,0.41,0.0,1.0
h260,16664.9,0.232,0.022,1.0
h261,14641.0,0.354,0.027,1.0
h262,14821.0,0.259,0.0,1.0
h263,12000.0,0.48,0.0,1.0
h264,13581.7,0.373,0.0,1.0
h265,14270.3,0.363,0.0,1.0
h266,13742.4,0.45,0.0,1.0
h267,16490.1,0.412,0.011,1.0
h268,14625.4,0.288,0.008,1.0
h269,16101.6,0.373,0.013,1.0
h270,17291.3,0.352,0.008,1.0
h271,19068.8,0.239,0.022,1.0
h272,17439.4,0.324,0.248,1.0
h273,20085.6,0.364,0.495,1.0
h274,19583.5,0.37,0.68,1.0
h275,19032.1,0.261,0.83,1.0
h276,20231.7,0.471,0.986,1.0
h277,19863.3,0.371,0.918,1.0
h278,18871.4,0.383,0.972,1.0
h279,18882.3,0.412,0.829,1.0
h280,17854.1,0.317,0.67,1.0
h281,17493.2,0.416,0.497,1.0
h282,17126.1,0.351,0.209,1.0
h283,17066.4,0.308,0.0,1.0
h284,14068.4,0.426,0.0,1.0
h285,16134.8,0.5,0.0,1.0
h286,12386.6,0.438,0.0,1.0
h287,13528.4,0.454,0.048,1.0
h288,14022.8,0.339,0.054,1.0
h289,13885.6,0.253,0.0,1.0
h290,13469.5,0.5,0.016,1.0
h291,14284.4,0.545,0.026,1.0
h292,14682.6,0.504,0.016,1.0
h293,15331.3,0.354,0.0,1.0
h294,17258.2,0.289,0.0,1.0
h295,17636.6,0.296,0.0,1.0
h296,17513.3,0.247,0.241,1.0
h297,19399.2,0.373,0.454,1.0
h298,19391.2,0.51,0.69,1.0
h299,20083.9,0.37,0.804,1.0
h300,20028.9,0.406,0.942,1.0
h301,18751.2,0.492,0.944,1.0
h302,18661.5,0.35,0.954,1.0
h303,19230.3,0.545,0.829,1.0
h304,18504.9,0.542,0.703,1.0
h305,17288.4,0.372,0.523,1.0
h306,16641.6,0.336,0.302,1.0
h307,16819.7,0.438,0.0,1.0
h308,14634.0,0.355,0.0,1.0
h309,14963.3,0.29,0.0,1.0
h310,13932.2,0.485,0.014,1.0
h311,13669.6,0.48,0.0,1.0
h312,14673.1,0.396,0.0,1.0
h313,14610.8,0.282,0.004,1.0
h314,14955.4,0.285,0.003,1.0
h315,15878.9,0.392,0.011,1.0
h316,15523.7,0.344,0.013,1.0
h317,16823.9,0.356,0.01,1.0
h318,16850.8,0.465,0.006,1.0
h319,18175.1,0.442,0.002,1.0
h320,18571.7,0.494,0.274,1.0
h321,19408.0,0.305,0.424,1.0
h322,20314.0,0.357,0.741,1.0
h323,19512.3,0.445,0.785,1.0
h324,21972.0,0.42,0.917,1.0
h325,19421.1,0.507,0.976,1.0
h326,18987.3,0.418,0.97,1.0
h327,20444.3,0.533,0.762,1.0
h328,19570.4,0.428,0.694,1.0
h329,18758.6,0.47,0.515,1.0
h330,18037.0,0.359,0.284,1.0
h331,16805.4,0.386,0.0,1.0
h332,15436.8,0.458,0.0,1.0
h333,15661.7,0.514,0.0,1.0
h334,14654.4,0.444,0.0,1.0
h335,15751.1,0.379,0.0,1.0
h336,14827.3,0.496,0.0,1.0
h337,14462.8,0.21,0.013,1.0
h338,15240.5,0.272,0.004,1.0
h339,16376.6,0.44,0.015,1.0
h340,16284.5,0.387,0.006,1.0
h341,16864.4,0.435,0.021,1.0
h342,18551.2,0.391,0.026,1.0
h343,19380.7,0.432,0.0,1.0
h344,19549.2,0.321,0.229,1.0
h345,20240.7,0.432,0.485,1.0
h346,21317.0,0.466,0.696,1.0
h347,20306.4,0.484,0.833,1.0
h348,20472.9,0.548,0.979,1.0
h349,20952.8,0.406,1.0,1.0
h350,21088.6,0.409,0.957,1.0
h351,21064.6,0.265,0.856,1.0
h352,21410.8,0.345,0.722,1.0
h353,20232.5,0.372,0.437,1.0
h354,18685.4,0.471,0.256,1.0
h355,18069.0,0.339,0.029,1.0
h356,16609.9,0.451,0.0,1.0
h357,16830.1,0.388,0.0,1.0
h358,16193.8,0.374,0.0,1.0
h359,16440.9,0.408,0.0,1.0
h360,15476.2,0.357,0.0,1.0
h361,16711.5,0.354,0.063,1.0
h362,17874.6,0.252,0.0,1.0
h363,17086.5,0.369,0.0,1.0
h364,18159.0,0.35,0.0,1.0
h365,19149.7,0.347,0.027,1.0
h366,19082.6,0.422,0.001,1.0
h367,20381.7,0.442,0.015,1.0
h368,20951.5,0.408,0.229,1.0
h369,21649.8,0.469,0.538,1.0
h370,21433.3,0.435,0.714,1.0
h371,22369.8,0.366,0.886,1.0
h372,22846.3,0.352,0.964,1.0
h373,23500.1,0.414,1.0,1.0
h374,22799.8,0.435,0.927,1.0
h375,23271.7,0.501,0.84,1.0
h376,20309.1,0.485,0.738,1.0
h377,20895.1,0.347,0.54,1.0
h378,19568.2,0.382,0.221,1.0
h379,20400.9,0.444,0.007,1.0
h380,17285.8,0.476,0.0,1.0
h381,16648.7,0.465,0.0,1.0
h382,16375.1,0.385,0.009,1.0
h383,14867.3,0.29,0.034,1.0
h384,16054.2,0.311,0.014,1.0
h385,15978.3,0.412,0.0,1.0
h386,17010.7,0.418,0.015,1.0
h387,17640.9,0.303,0.0,1.0
h388,19484.3,0.395,0.012,1.0
h389,19455.2,0.442,0.042,1.0
h390,18990.7,0.299,0.0,1.0
h391,19483.7,0.48,0.024,1.0
h392,21286.3,0.361,0.21,1.0
h393,20418.2,0.492,0.531,1.0
h394,23371.2,0.349,0.68,1.0
h395,23099.8,0.31,0.819,1.0
h396,21830.6,0.355,0.976,1.0
h397,20679.0,0.384,0.999,1.0
h398,22778.6,0.361,0.925,1.0
h399,21073.8,0.375,0.819,1.0
h400,21483.4,0.419,0.693,1.0
h401,18446.1,0.379,0.458,1.0
h402,18421.5,0.387,0.224,1.0
h403,18088.4,0.256,0.003,1.0
h404,17361.8,0.424,0.0,1.0
h405,16309.6,0.386,0.013,1.0
h406,16660.4,0.522,0.045,1.0
h407,14979.1,0.318,0.0,1.0
h408,15588.0,0.248,0.004,1.0
h409,15870.3,0.443,0.061,1.0
h410,16452.9,0.421,0.0,1.0
h411,17051.4,0.313,0.036,1.0
h412,16163.3,0.271,0.032,1.0
h413,16513.4,0.517,0.026,1.0
h414,19487.8,0.507,0.039,1.0
h415,19450.6,0.195,0.008,1.0
h416,19246.6,0.357,0.239,1.0
h417,21639.8,0.527,0.528,1.0
h418,20896.4,0.356,0.734,1.0
h419,21972.4,0.355,0.89,1.0
h420,21109.1,0.372,0.958,1.0
h421,22525.4,0.305,0.969,1.0
h422,21906.7,0.258,0.962,1.0
h423,19754.6,0.479,0.886,1.0
h424,20041.8,0.247,0.731,1.0
h425,18994.1,0.415,0.482,1.0
h426,18738.6,0.466,0.266,1.0
h427,16043.3,0.279,0.0,1.0
h428,16594.1,0.321,0.03,1.0
h429,16229.2,0.492,0.0,1.0
h430,13461.7,0.438,0.024,1.0
h431,13588.5,0.346,0.0,1.0
h432,12769.8,0.492,0.031,1.0
h433,14256.9,0.492,0.01,1.0
h434,15314.6,0.417,0.0,1.0
h435,16386.0,0.324,0.021,1.0
h436,15828.8,0.363,0.0,1.0
h437,17756.5,0.419,0.022,1.0
h438,16082.6,0.381,0.0,1.0
h439,16553.0,0.471,0.0,1.0
h440,18543.7,0.274,0.227,1.0
h441,19462.4,0.277,0.483,1.0
h442,19549.1,0.411,0.742,1.0
h443,18163.3,0.357,0.886,1.0
h444,19790.7,0.347,1.0,1.0
h445,18660.4,0.255,1.0,1.0
h446,19887.3,0.399,0.942,1.0
h447,19119.8,0.393,0.853,1.0
h448,17410.5,0.449,0.689,1.0
h449,16991.3,0.403,0.476,1.0
h450,15749.0,0.387,0.201,1.0
h451,15747.4,0.492,0.0,1.0
h452,15822.7,0.293,0.0,1.0
h453,13639.7,0.441,0.0,1.0
h454,14351.5,0.264,0.063,1.0
h455,13225.6,0.331,0.0,1.0
h456,12917.8,0.301,0.006,1.0
h457,13575.2,0.461,0.027,1.0
h458,13139.5,0.393,0.008,1.0
h459,14008.0,0.397,0.009,1.0
h460,14118.7,0.31,0.0,1.0
h461,17374.6,0.374,0.0,1.0
h462,16606.7,0.337,0.0,1.0
h463,16791.2,0.429,0.025,1.0
h464,18238.8,0.319,0.205,1.0
h465,18589.7,0.505,0.525,1.0
h466,18968.6,0.265,0.66,1.0
h467,19924.9,0.335,0.889,1.0
h468,20131.2,0.533,0.948,1.0
h469,18990.0,0.364,0.956,1.0
h470,18649.0,0.294,0.976,1.0
h471,18412.5,0.417,0.888,1.0
h472,16175.1,0.362,0.689,1.0
h473,16092.9,0.333,0.518,1.0
h474,17641.2,0.312,0.188,1.0
h475,17113.5,0.621,0.0,1.0
h476,14908.0,0.38,0.039,1.0
h477,14986.8,0.246,0.0,1.0
h478,14343.0,0.52,0.0,1.0
h479,16306.9,0.449,0.0,1.0
h480,14689.8,0.339,0.0,1.0
h481,13848.1,0.326,0.0,1.0
h482,13540.1,0.454,0.0,1.0
h483,13549.4,0.381,0.005,1.0
h484,15669.7,0.247,0.0,1.0
h485,15673.2,0.544,0.041,1.0
h486,15961.2,0.366,0.013,1.0
h487,17398.5,0.521,0.014,1.0
h488,17810.6,0.503,0.292,1.0
h489,20680.1,0.321,0.485,1.0
h490,20543.2,0.484,0.665,1.0
h491,20160.5,0.349,0.897,1.0
h492,21482.1,0.252,0.964,1.0
h493,20287.8,0.368,0.998,1.0
h494,19269.6,0.434,0.941,1.0
h495,20736.4,0.365,0.843,1.0
h496,19368.2,0.377,0.728,1.0
h497,17429.5,0.494,0.527,1.0
h498,17382.1,0.411,0.281,1.0
h499,16114.7,0.335,0.024,1.0
h500,15048.3,0.459,0.017,1.0
h501,16342.0,0.418,0.004,1.0
h502,16723.7,0.201,0.0,1.0
h503,13852.2,0.437,0.036,1.0
h504,15395.3,0.434,0.0,1.0
h505,14602.7,0.405,0.011,1.0
h506,15107.9,0.474,0.0,1.0
h507,15572.3,0.349,0.0,1.0
h508,16044.3,0.43,0.0,1.0
h509,17561.0,0.278,0.0,1.0
h510,17691.5,0.436,0.024,1.0
h511,19401.1,0.56,0.0,1.0
h512,19914.6,0.324,0.261,1.0
h513,20426.3,0.343,0.502,1.0
h514,20405.3,0.347,0.649,1.0
h515,21003.4,0.414,0.849,1.0
h516,22203.2,0.319,0.969,1.0
h517,21928.3,0.438,1.0,1.0
h518,20477.4,0.472,0.955,1.0
h519,20895.3,0.447,0.882,1.0
h520,20831.6,0.263,0.701,1.0
h521,18210.9,0.484,0.498,1.0
h522,19248.0,0.48,0.265,1.0
h523,17554.1,0.471,0.028,1.0
h524,17868.4,0.435,0.0,1.0
h525,16234.3,0.423,0.0,1.0
h526,14980.8,0.488,0.0,1.0
h527,14880.7,0.559,0.0,1.0
h528,16176.4,0.329,0.043,1.0
h529,16503.8,0.492,0.017,1.0
h530,15924.9,0.399,0.0,1.0
h531,17684.4,0.395,0.0,1.0
h532,16508.4,0.283,0.011,1.0
h533,18544.8,0.383,0.0,1.0
h534,18434.8,0.326,0.0,1.0
h535,19681.0,0.369,0.04,1.0
h536,20979.3,0.318,0.239,1.0
h537,20883.3,0.37,0.527,1.0
h538,21744.1,0.374,0.742,1.0
h539,23155.2,0.414,0.841,1.0
h540,21986.4,0.277,0.936,1.0
h541,23007.7,0.291,0.988,1.0
h542,21128.6,0.436,0.93,1.0
h543,21973.0,0.343,0.866,1.0
h544,22076.3,0.493,0.698,1.0
h545,18219.9,0.425,0.509,1.0
h546,18784.0,0.456,0.3,1.0
h547,19110.7,0.52,0.025,1.0
h548,17770.0,0.382,0.015,1.0
h549,17617.4,0.361,0.0,1.0
h550,16371.5,0.477,0.013,1.0
h551,16635.7,0.448,0.052,1.0
h552,16350.3,0.393,0.0,1.0
h553,17519.8,0.519,0.021,1.0
h554,17093.9,0.391,0.0,1.0
h555,17637.6,0.411,0.0,1.0
h556,17653.9,0.41,0.024,1.0
h557,18304.8,0.333,0.051,1.0
h558,19106.2,0.414,0.023,1.0
h559,20518.0,0.52,0.0,1.0
h560,20555.9,0.444,0.23,1.0
h561,21706.2,0.411,0.503,1.0
h562,23566.3,0.396,0.731,1.0
h563,22853.1,0.435,0.852,1.0
h564,21945.1,0.469,0.954,1.0
h565,23010.5,0.458,1.0,1.0
h566,21369.0,0.382,0.996,1.0
h567,19534.9,0.435,0.898,1.0
h568,19686.6,0.448,0.661,1.0
h569,18225.0,0.329,0.477,1.0
h570,18619.8,0.423,0.26,1.0
h571,18099.0,0.237,0.0,1.0
h572,18665.3,0.448,0.048,1.0
h573,16931.2,0.463,0.042,1.0
h574,15986.8,0.47,0.0,1.0
h575,16496.7,0.378,0.054,1.0
h576,13933.0,0.435,0.0,1.0
h577,15962.5,0.524,0.078,1.0
h578,16658.0,0.523,0.004,1.0
h579,15299.3,0.408,0.017,1.0
h580,17978.0,0.422,0.042,1.0
h581,18011.5,0.499,0.038,1.0
h582,18133.4,0.29,0.015,1.0
h583,19691.0,0.385,0.0,1.0
h584,21662.0,0.518,0.274,1.0
h585,20544.4,0.489,0.474,1.0
h586,21002.4,0.44,0.71,1.0
h587,20661.5,0.291,0.831,1.0
h588,20375.2,0.407,0.91,1.0
h589,21541.0,0.364,0.999,1.0
h590,19817.5,0.438,1.0,1.0
h591,20011.0,0.347,0.892,1.0
h592,18882.4,0.329,0.703,1.0
h593,18861.0,0.246,0.551,1.0
h594,17910.6,0.509,0.241,1.0
h595,17645.3,0.38,0.0,1.0
h596,15637.2,0.425,0.0,1.0
h597,15166.6,0.412,0.0,1.0
h598,14085.6,0.327,0.024,1.0
h599,14179.7,0.311,0.0,1.0
h600,14703.0,0.332,0.014,1.0
h601,15078.0,0.355,0.049,1.0
h602,14002.9,0.442,0.0,1.0
h603,15879.8,0.349,0.014,1.0
h604,16854.0,0.552,0.016,1.0
h605,16784.4,0.495,0.0,1.0
h606,18688.1,0.478,0.041,1.0
h607,17296.7,0.403,0.0,1.0
h608,17592.4,0.534,0.247,1.0
h609,17732.1,0.396,0.563,1.0
h610,20772.1,0.411,0.722,1.0
h611,20340.8,0.427,0.892,1.0
h612,19817.6,0.47,1.0,1.0
h613,19928.0,0.465,0.979,1.0
h614,18451.2,0.376,1.0,1.0
h615,20783.1,0.371,0.85,1.0
h616,18265.7,0.465,0.69,1.0
h617,17489.9,0.471,0.491,1.0
h618,17177.0,0.383,0.24,1.0
h619,16182.4,0.287,0.025,1.0
h620,15237.7,0.398,0.008,1.0
h621,13795.9,0.464,0.0,1.0
h622,14325.4,0.559,0.02,1.0
h623,15155.4,0.319,0.0,1.0
h624,14628.4,0.381,0.0,1.0
h625,14935.4,0.384,0.001,1.0
h626,13558.7,0.523,0.014,1.0
h627,13659.2,0.412,0.012,1.0
h628,14976.4,0.342,0.0,1.0
h629,15847.4,0.46,0.025,1.0
h630,17453.8,0.383,0.0,1.0
h631,15997.0,0.317,0.0,1.0
h632,19291.2,0.344,0.215,1.0
h633,18553.2,0.554,0.529,1.0
h634,18803.9,0.446,0.707,1.0
h635,18623.9,0.424,0.872,1.0
h636,18201.3,0.396,0.996,1.0
h637,20072.9,0.439,0.985,1.0
h638,19168.3,0.438,0.924,1.0
h639,17600.5,0.439,0.867,1.0
h640,16980.6,0.425,0.716,1.0
h641,17036.5,0.486,0.492,1.0
h642,17882.9,0.418,0.303,1.0
h643,15589.9,0.338,0.0,1.0
h644,13904.8,0.368,0.034,1.0
h645,14329.0,0.258,0.024,1.0
h646,13875.8,0.579,0.014,1.0
h647,12000.0,0.486,0.0,1.0
h648,13750.7,0.351,0.039,1.0
h649,13765.7,0.395,0.0,1.0
h650,14861.5,0.366,0.0,1.0
h651,16313.7,0.541,0.0,1.0
h652,16408.1,0.304,0.012,1.0
h653,16063.2,0.427,0.019,1.0
h654,16213.8,0.409,0.027,1.0
h655,19974.4,0.484,0.024,1.0
h656,18723.2,0.409,0.266,1.0
h657,19341.5,0.277,0.512,1.0
h658,19818.6,0.398,0.674,1.0
h659,20325.3,0.34,0.843,1.0
h660,20182.6,0.424,0.992,1.0
h661,19767.0,0.533,1.0,1.0
h662,19521.2,0.279,0.987,1.0
h663,19491.7,0.354,0.85,1.0
h664,18502.3,0.374,0.734,1.0
h665,17689.0,0.388,0.465,1.0
h666,17619.5,0.478,0.291,1.0
h667,16611.3,0.405,0.0,1.0
h668,17357.8,0.452,0.051,1.0
h669,13480.3,0.369,0.0,1.0
h670,16069.3,0.437,0.053,1.0
h671,15967.9,0.481,0.0,1.0
h672,13286.2,0.361,0.0,1.0
h673,14849.1,0.482,0.006,1.0
h674,15200.4,0.424,0.0,1.0
h675,14920.2,0.503,0.0,1.0
h676,16113.2,0.404,0.0,1.0
h677,16633.7,0.45,0.0,1.0
h678,19758.1,0.417,0.015,1.0
h679,19933.3,0.412,0.0,1.0
h680,20972.0,0.441,0.236,1.0
h681,21194.8,0.463,0.459,1.0
h682,20228.1,0.32,0.692,1.0
h683,21045.2,0.535,0.905,1.0
h684,21990.3,0.272,0.94,1.0
h685,20549.9,0.366,0.978,1.0
h686,21829.8,0.413,0.972,1.0
h687,20623.6,0.454,0.855,1.0
h688,19930.6,0.547,0.774,1.0
h689,20115.2,0.272,0.495,1.0
h690,19168.7,0.38,0.269,1.0
h691,17795.5,0.251,0.028,1.0
h692,18339.3,0.424,0.028,1.0
h693,15980.0,0.443,0.007,1.0
h694,16917.5,0.549,0.0,1.0
h695,16657.2,0.431,0.061,1.0
h696,15890.3,0.505,0.0,1.0
h697,16556.9,0.468,0.0,1.0
