'demand' 'cf_wind' 'cf_solar' 'cf_gas' 'co2_gas'
h123 15318.3 0.367 0.000 1.0 0.400
h124 14834.6 0.227 0.062 1.0 0.400
h125 14577.0 0.468 0.007 1.0 0.400
h126 16430.3 0.281 0.000 1.0 0.400
h127 16668.1 0.233 0.000 1.0 0.400
h128 17821.3 0.409 0.249 1.0 0.400
h129 17481.4 0.352 0.464 1.0 0.400
h130 18338.5 0.261 0.720 1.0 0.400
h131 18854.4 0.417 0.820 1.0 0.400
h132 18802.5 0.350 0.905 1.0 0.400
h133 19115.6 0.417 0.976 1.0 0.400
h134 18917.7 0.388 0.935 1.0 0.400
h135 17451.9 0.386 0.906 1.0 0.400
h136 18708.1 0.425 0.675 1.0 0.400
h137 16518.2 0.412 0.533 1.0 0.400
h138 15577.0 0.448 0.267 1.0 0.400
h139 15734.5 0.378 0.001 1.0 0.400
h140 15872.6 0.401 0.000 1.0 0.400
h141 14592.8 0.325 0.010 1.0 0.400
h142 15059.9 0.314 0.000 1.0 0.400
h143 14626.6 0.557 0.000 1.0 0.400
h144 13811.8 0.332 0.034 1.0 0.400
h145 14098.9 0.397 0.008 1.0 0.400
h146 14846.3 0.443 0.038 1.0 0.400
h147 15592.8 0.352 0.001 1.0 0.400
h148 16754.8 0.425 0.023 1.0 0.400
h149 14929.9 0.451 0.000 1.0 0.400
h150 17076.6 0.392 0.000 1.0 0.400
h151 19671.6 0.366 0.000 1.0 0.400
h152 18762.1 0.356 0.268 1.0 0.400
h153 18573.5 0.279 0.455 1.0 0.400
h154 19060.9 0.398 0.657 1.0 0.400
h155 21923.7 0.427 0.825 1.0 0.400
h156 20821.4 0.158 0.881 1.0 0.400
h157 19109.9 0.505 0.927 1.0 0.400
h158 19943.0 0.386 0.989 1.0 0.400
h159 19625.8 0.343 0.812 1.0 0.400
h160 19929.7 0.194 0.691 1.0 0.400
h161 19764.9 0.306 0.478 1.0 0.400
h162 17445.0 0.402 0.226 1.0 0.400
h163 16326.9 0.235 0.000 1.0 0.400
h164 16282.9 0.499 0.000 1.0 0.400
h165 16200.0 0.554 0.038 1.0 0.400
h166 14728.4 0.432 0.000 1.0 0.400
h167 14139.1 0.387 0.000 1.0 0.400
h168 15653.2 0.453 0.000 1.0 0.400
h169 15442.5 0.347 0.012 1.0 0.400
h170 16758.5 0.384 0.000 1.0 0.400
h171 15546.4 0.264 0.000 1.0 0.400
h172 17801.0 0.280 0.000 1.0 0.400
h173 15484.2 0.327 0.000 1.0 0.400
h174 18688.7 0.385 0.000 1.0 0.400
h175 18973.9 0.324 0.000 1.0 0.400
h176 19438.5 0.444 0.263 1.0 0.400
h177 21309.3 0.412 0.485 1.0 0.400
h178 22737.4 0.433 0.723 1.0 0.400
h179 21756.9 0.445 0.853 1.0 0.400
h180 20509.0 0.380 0.989 1.0 0.400
h181 21227.4 0.274 0.941 1.0 0.400
h182 21067.0 0.397 0.920 1.0 0.400
h183 21039.4 0.404 0.842 1.0 0.400
h184 20613.8 0.332 0.626 1.0 0.400
h185 19327.2 0.263 0.453 1.0 0.400
h186 18941.8 0.410 0.286 1.0 0.400
h187 17673.9 0.307 0.029 1.0 0.400
h188 17358.1 0.381 0.000 1.0 0.400
h189 17554.3 0.331 0.020 1.0 0.400
h190 15490.8 0.209 0.021 1.0 0.400
h191 16737.6 0.425 0.026 1.0 0.400
h192 15967.3 0.412 0.019 1.0 0.400
h193 15693.4 0.299 0.016 1.0 0.400
h194 18259.4 0.415 0.000 1.0 0.400
h195 16204.0 0.475 0.012 1.0 0.400
h196 18484.5 0.267 0.000 1.0 0.400
h197 19357.3 0.385 0.013 1.0 0.400
h198 18543.6 0.290 0.000 1.0 0.400
h199 20982.6 0.378 0.000 1.0 0.400
h200 21403.1 0.218 0.252 1.0 0.400
h201 22783.3 0.406 0.460 1.0 0.400
h202 22667.6 0.421 0.698 1.0 0.400
h203 21288.7 0.231 0.832 1.0 0.400
h204 22410.3 0.320 0.949 1.0 0.400
h205 23442.8 0.446 1.000 1.0 0.400
h206 21934.8 0.458 0.983 1.0 0.400
h207 20422.5 0.301 0.818 1.0 0.400
h208 19510.1 0.416 0.681 1.0 0.400
h209 20965.6 0.196 0.532 1.0 0.400
h210 18482.9 0.288 0.203 1.0 0.400
h211 18108.6 0.492 0.000 1.0 0.400
h212 17588.5 0.343 0.000 1.0 0.400
h213 17028.4 0.441 0.031 1.0 0.400
h214 16890.4 0.292 0.014 1.0 0.400
h215 16566.8 0.328 0.000 1.0 0.400
h216 17317.2 0.480 0.000 1.0 0.400
h217 17380.0 0.369 0.000 1.0 0.400
h218 17315.1 0.367 0.000 1.0 0.400
h219 17947.4 0.455 0.007 1.0 0.400
h220 17998.8 0.327 0.000 1.0 0.400
h221 20003.4 0.345 0.012 1.0 0.400
h222 18391.7 0.305 0.000 1.0 0.400
h223 20023.8 0.311 0.000 1.0 0.400
h224 20104.0 0.467 0.243 1.0 0.400
h225 21184.7 0.302 0.504 1.0 0.400
h226 22596.6 0.363 0.691 1.0 0.400
h227 21947.2 0.296 0.813 1.0 0.400
h228 22256.8 0.353 0.957 1.0 0.400
h229 21144.1 0.418 0.963 1.0 0.400
h230 21485.9 0.331 0.890 1.0 0.400
h231 21723.5 0.252 0.791 1.0 0.400
h232 21174.3 0.316 0.727 1.0 0.400
h233 20817.2 0.362 0.520 1.0 0.400
h234 18045.1 0.224 0.235 1.0 0.400
h235 17525.4 0.350 0.000 1.0 0.400
h236 16767.1 0.244 0.000 1.0 0.400
h237 17795.0 0.483 0.047 1.0 0.400
h238 15725.1 0.396 0.000 1.0 0.400
h239 15154.9 0.219 0.002 1.0 0.400
h240 15443.8 0.296 0.006 1.0 0.400
h241 16511.8 0.546 0.000 1.0 0.400
h242 16085.2 0.353 0.000 1.0 0.400
h243 15344.6 0.329 0.000 1.0 0.400
h244 16958.3 0.340 0.046 1.0 0.400
h245 18774.8 0.321 0.031 1.0 0.400
h246 19172.3 0.370 0.000 1.0 0.400
h247 18852.4 0.349 0.000 1.0 0.400
h248 21122.8 0.332 0.254 1.0 0.400
h249 20527.3 0.232 0.468 1.0 0.400
h250 21574.8 0.472 0.669 1.0 0.400
h251 21888.7 0.151 0.863 1.0 0.400
h252 21227.6 0.412 0.930 1.0 0.400
h253 21115.8 0.479 0.993 1.0 0.400
h254 19106.1 0.311 0.936 1.0 0.400
h255 20032.2 0.290 0.866 1.0 0.400
h256 18261.7 0.232 0.683 1.0 0.400
h257 17748.8 0.236 0.507 1.0 0.400
h258 18259.9 0.370 0.193 1.0 0.400
h259 17151.1 0.358 0.000 1.0 0.400
h260 15159.1 0.309 0.000 1.0 0.400
h261 14968.9 0.435 0.000 1.0 0.400
h262 16062.3 0.340 0.000 1.0 0.400
h263 13616.4 0.397 0.028 1.0 0.400
h264 15307.5 0.375 0.000 1.0 0.400
h265 13600.9 0.440 0.000 1.0 0.400
h266 14067.8 0.384 0.022 1.0 0.400
h267 15175.8 0.278 0.010 1.0 0.400
h268 15711.7 0.536 0.006 1.0 0.400
h269 16114.9 0.386 0.000 1.0 0.400
h270 16654.0 0.258 0.047 1.0 0.400
h271 19432.2 0.457 0.000 1.0 0.400
h272 19417.9 0.522 0.236 1.0 0.400
h273 20079.0 0.419 0.469 1.0 0.400
h274 19180.7 0.396 0.689 1.0 0.400
h275 18748.2 0.403 0.832 1.0 0.400
h276 20376.8 0.413 0.953 1.0 0.400
h277 18541.3 0.291 0.978 1.0 0.400
h278 19985.8 0.274 0.916 1.0 0.400
h279 18936.4 0.492 0.849 1.0 0.400
h280 19513.9 0.445 0.681 1.0 0.400
h281 17345.4 0.315 0.531 1.0 0.400
h282 15979.8 0.371 0.297 1.0 0.400
h283 14685.7 0.415 0.000 1.0 0.400
h284 14925.2 0.290 0.000 1.0 0.400
h285 15139.5 0.427 0.000 1.0 0.400
h286 13515.4 0.437 0.045 1.0 0.400
h287 12931.1 0.365 0.000 1.0 0.400
h288 12607.8 0.254 0.000 1.0 0.400
h289 15180.0 0.336 0.063 1.0 0.400
h290 14158.3 0.295 0.000 1.0 0.400
h291 16125.8 0.320 0.000 1.0 0.400
h292 14428.2 0.355 0.008 1.0 0.400
h293 15431.0 0.432 0.000 1.0 0.400
h294 15771.6 0.418 0.000 1.0 0.400
h295 17456.7 0.299 0.039 1.0 0.400
h296 18910.6 0.331 0.229 1.0 0.400
h297 18793.8 0.327 0.479 1.0 0.400
h298 18949.7 0.395 0.721 1.0 0.400
h299 19104.0 0.409 0.883 1.0 0.400
h300 19779.8 0.241 0.949 1.0 0.400
h301 18406.1 0.470 0.970 1.0 0.400
h302 18272.4 0.402 0.953 1.0 0.400
h303 18438.1 0.529 0.829 1.0 0.400
h304 17675.1 0.475 0.705 1.0 0.400
h305 17720.9 0.481 0.486 1.0 0.400
h306 15300.3 0.349 0.267 1.0 0.400
h307 15295.8 0.353 0.000 1.0 0.400
h308 14309.6 0.346 0.000 1.0 0.400
h309 13727.9 0.393 0.000 1.0 0.400
h310 14817.4 0.522 0.000 1.0 0.400
h311 13533.4 0.481 0.000 1.0 0.400
h312 13632.0 0.480 0.026 1.0 0.400
h313 14544.2 0.427 0.000 1.0 0.400
h314 14551.6 0.461 0.017 1.0 0.400
h315 14740.5 0.457 0.000 1.0 0.400
h316 15567.9 0.373 0.024 1.0 0.400
h317 15980.6 0.421 0.025 1.0 0.400
h318 16340.5 0.446 0.029 1.0 0.400
h319 17610.0 0.387 0.000 1.0 0.400
h320 19145.0 0.357 0.285 1.0 0.400
h321 19396.8 0.333 0.460 1.0 0.400
h322 20569.5 0.450 0.711 1.0 0.400
h323 20308.0 0.403 0.845 1.0 0.400
h324 19772.9 0.365 0.953 1.0 0.400
h325 19483.4 0.490 0.953 1.0 0.400
h326 19604.7 0.441 0.930 1.0 0.400
h327 19195.7 0.442 0.856 1.0 0.400
h328 19536.4 0.302 0.648 1.0 0.400
h329 16826.6 0.328 0.512 1.0 0.400
h330 16726.4 0.438 0.284 1.0 0.400
h331 18642.0 0.382 0.000 1.0 0.400
h332 15423.8 0.490 0.015 1.0 0.400
h333 15566.1 0.416 0.009 1.0 0.400
h334 15709.2 0.437 0.000 1.0 0.400
h335 14873.6 0.381 0.000 1.0 0.400
h336 14906.2 0.195 0.000 1.0 0.400
h337 15333.0 0.452 0.036 1.0 0.400
h338 15126.2 0.414 0.004 1.0 0.400
h339 15439.9 0.349 0.070 1.0 0.400
h340 17729.9 0.464 0.000 1.0 0.400
h341 17295.4 0.407 0.047 1.0 0.400
h342 18162.7 0.368 0.008 1.0 0.400
h343 19436.7 0.443 0.000 1.0 0.400
h344 20861.9 0.490 0.275 1.0 0.400
h345 21180.2 0.499 0.511 1.0 0.400
h346 20797.3 0.480 0.744 1.0 0.400
h347 21936.9 0.329 0.853 1.0 0.400
h348 23308.8 0.402 0.895 1.0 0.400
h349 22676.5 0.410 1.000 1.0 0.400
h350 21174.8 0.380 0.914 1.0 0.400
h351 20589.2 0.544 0.893 1.0 0.400
h352 19515.5 0.340 0.722 1.0 0.400
h353 19704.3 0.359 0.476 1.0 0.400
h354 19379.0 0.535 0.261 1.0 0.400
h355 18264.0 0.413 0.029 1.0 0.400
h356 17075.4 0.367 0.024 1.0 0.400
h357 16446.9 0.392 0.000 1.0 0.400
h358 16536.6 0.382 0.000 1.0 0.400
h359 16324.8 0.469 0.016 1.0 0.400
h360 17235.4 0.358 0.000 1.0 0.400
h361 15712.1 0.334 0.000 1.0 0.400
h362 16766.7 0.410 0.000 1.0 0.400
h363 17868.3 0.443 0.032 1.0 0.400
h364 16449.0 0.275 0.034 1.0 0.400
h365 18605.7 0.300 0.011 1.0 0.400
h366 20812.7 0.400 0.032 1.0 0.400
h367 19637.6 0.391 0.017 1.0 0.400
h368 20904.7 0.427 0.238 1.0 0.400
h369 22563.0 0.330 0.478 1.0 0.400
h370 20713.7 0.344 0.736 1.0 0.400
h371 22747.5 0.456 0.852 1.0 0.400
h372 22517.7 0.343 0.924 1.0 0.400
h373 21371.2 0.224 0.969 1.0 0.400
h374 22949.9 0.290 0.993 1.0 0.400
h375 21405.5 0.375 0.893 1.0 0.400
h376 19782.4 0.371 0.780 1.0 0.400
h377 18834.2 0.368 0.459 1.0 0.400
h378 20556.3 0.436 0.288 1.0 0.400
h379 17401.5 0.430 0.001 1.0 0.400
h380 18262.8 0.282 0.000 1.0 0.400
h381 16744.5 0.409 0.000 1.0 0.400
h382 17629.6 0.505 0.000 1.0 0.400
h383 17620.1 0.480 0.000 1.0 0.400
h384 17565.5 0.427 0.000 1.0 0.400
h385 17594.6 0.314 0.016 1.0 0.400
h386 18337.1 0.187 0.038 1.0 0.400
h387 17792.0 0.326 0.000 1.0 0.400
h388 16822.2 0.271 0.045 1.0 0.400
h389 18591.1 0.422 0.006 1.0 0.400
h390 20299.5 0.432 0.031 1.0 0.400
h391 18812.6 0.389 0.000 1.0 0.400
h392 20432.9 0.433 0.259 1.0 0.400
h393 21475.1 0.441 0.513 1.0 0.400
h394 22079.2 0.584 0.689 1.0 0.400
h395 22139.1 0.431 0.878 1.0 0.400
h396 22262.0 0.344 0.987 1.0 0.400
h397 21951.9 0.334 0.992 1.0 0.400
h398 21218.3 0.586 0.988 1.0 0.400
h399 21700.7 0.462 0.851 1.0 0.400
h400 19454.1 0.402 0.702 1.0 0.400
h401 18956.3 0.336 0.500 1.0 0.400
h402 18827.6 0.440 0.229 1.0 0.400
h403 16184.6 0.366 0.000 1.0 0.400
h404 18116.4 0.250 0.000 1.0 0.400
h405 16088.1 0.415 0.000 1.0 0.400
h406 15728.4 0.506 0.014 1.0 0.400
h407 16572.2 0.512 0.000 1.0 0.400
h408 15570.9 0.297 0.000 1.0 0.400
h409 15697.9 0.389 0.000 1.0 0.400
h410 14516.9 0.372 0.000 1.0 0.400
h411 15428.7 0.365 0.000 1.0 0.400
h412 15804.6 0.389 0.000 1.0 0.400
h413 17500.2 0.484 0.017 1.0 0.400
h414 19414.6 0.311 0.016 1.0 0.400
h415 20484.1 0.432 0.000 1.0 0.400
h416 19575.1 0.414 0.253 1.0 0.400
h417 18385.9 0.453 0.463 1.0 0.400
h418 20108.2 0.418 0.681 1.0 0.400
h419 21801.5 0.223 0.875 1.0 0.400
h420 20844.7 0.392 0.921 1.0 0.400
h421 22009.8 0.320 0.980 1.0 0.400
h422 20117.1 0.332 0.952 1.0 0.400
h423 19620.5 0.365 0.848 1.0 0.400
h424 19357.7 0.429 0.675 1.0 0.400
h425 16332.6 0.301 0.482 1.0 0.400
h426 17999.3 0.475 0.233 1.0 0.400
h427 16561.0 0.327 0.000 1.0 0.400
h428 15658.3 0.346 0.004 1.0 0.400
h429 16338.5 0.315 0.000 1.0 0.400
h430 14222.1 0.412 0.026 1.0 0.400
h431 14241.0 0.367 0.010 1.0 0.400
h432 15158.4 0.297 0.000 1.0 0.400
h433 14743.5 0.415 0.028 1.0 0.400
h434 15178.4 0.392 0.023 1.0 0.400
h435 15843.5 0.442 0.034 1.0 0.400
h436 14954.7 0.417 0.000 1.0 0.400
h437 16044.5 0.471 0.000 1.0 0.400
h438 16392.1 0.298 0.000 1.0 0.400
h439 17664.0 0.421 0.028 1.0 0.400
h440 17558.1 0.390 0.228 1.0 0.400
h441 19437.4 0.553 0.465 1.0 0.400
h442 20211.1 0.295 0.699 1.0 0.400
h443 20946.4 0.483 0.874 1.0 0.400
h444 18274.4 0.482 0.945 1.0 0.400
h445 20041.2 0.455 0.995 1.0 0.400
h446 19136.3 0.553 0.964 1.0 0.400
h447 19548.8 0.476 0.798 1.0 0.400
h448 18058.1 0.349 0.734 1.0 0.400
h449 18726.9 0.317 0.542 1.0 0.400
h450 16386.5 0.395 0.264 1.0 0.400
h451 16425.5 0.321 0.000 1.0 0.400
h452 15581.1 0.282 0.030 1.0 0.400
h453 14836.6 0.338 0.021 1.0 0.400
h454 14698.1 0.478 0.007 1.0 0.400
h455 12397.0 0.334 0.019 1.0 0.400
h456 13606.6 0.356 0.000 1.0 0.400
h457 13248.4 0.438 0.000 1.0 0.400
h458 15273.3 0.398 0.041 1.0 0.400
h459 14111.5 0.355 0.000 1.0 0.400
h460 16726.0 0.406 0.010 1.0 0.400
h461 16442.0 0.365 0.000 1.0 0.400
h462 16544.5 0.327 0.000 1.0 0.400
h463 16918.4 0.496 0.000 1.0 0.400
h464 19093.6 0.384 0.319 1.0 0.400
h465 18408.5 0.452 0.480 1.0 0.400
h466 17933.7 0.426 0.650 1.0 0.400
h467 18830.6 0.557 0.875 1.0 0.400
h468 18735.9 0.374 0.949 1.0 0.400
h469 18957.2 0.507 0.980 1.0 0.400
h470 21317.6 0.485 0.896 1.0 0.400
h471 18592.6 0.378 0.810 1.0 0.400
h472 16806.6 0.323 0.684 1.0 0.400
h473 17507.6 0.321 0.454 1.0 0.400
h474 16091.5 0.611 0.281 1.0 0.400
h475 15162.7 0.402 0.034 1.0 0.400
h476 14415.4 0.380 0.000 1.0 0.400
h477 14224.7 0.468 0.000 1.0 0.400
h478 13288.1 0.426 0.000 1.0 0.400
h479 13934.8 0.258 0.035 1.0 0.400
h480 14028.0 0.493 0.000 1.0 0.400
h481 12657.2 0.385 0.000 1.0 0.400
h482 12961.2 0.266 0.014 1.0 0.400
h483 14627.2 0.395 0.000 1.0 0.400
h484 16706.0 0.422 0.031 1.0 0.400
h485 15746.4 0.483 0.000 1.0 0.400
h486 16550.0 0.349 0.000 1.0 0.400
h487 17890.6 0.463 0.003 1.0 0.400
h488 18163.1 0.281 0.262 1.0 0.400
h489 19659.0 0.471 0.490 1.0 0.400
h490 20653.5 0.405 0.715 1.0 0.400
h491 19671.8 0.325 0.867 1.0 0.400
h492 19861.3 0.381 1.000 1.0 0.400
h493 21539.0 0.273 1.000 1.0 0.400
h494 19840.8 0.430 0.922 1.0 0.400
h495 19281.2 0.348 0.903 1.0 0.400
h496 18719.3 0.490 0.710 1.0 0.400
h497 18963.2 0.482 0.551 1.0 0.400
h498 17765.5 0.394 0.240 1.0 0.400
h499 16977.0 0.411 0.005 1.0 0.400
h500 14880.5 0.429 0.048 1.0 0.400
h501 15942.2 0.406 0.000 1.0 0.400
h502 15671.2 0.407 0.000 1.0 0.400
h503 15558.7 0.566 0.014 1.0 0.400
h504 14157.2 0.402 0.056 1.0 0.400
h505 15118.1 0.303 0.001 1.0 0.400
h506 17330.6 0.377 0.000 1.0 0.400
h507 16596.7 0.419 0.022 1.0 0.400
h508 17753.7 0.482 0.000 1.0 0.400
h509 18216.0 0.418 0.007 1.0 0.400
h510 18261.0 0.297 0.037 1.0 0.400
h511 20213.5 0.359 0.022 1.0 0.400
h512 19510.7 0.551 0.278 1.0 0.400
h513 21318.7 0.386 0.457 1.0 0.400
h514 21219.3 0.462 0.716 1.0 0.400
h515 21259.7 0.351 0.833 1.0 0.400
h516 20048.3 0.243 0.947 1.0 0.400
h517 21990.3 0.245 1.000 1.0 0.400
h518 21958.5 0.307 0.946 1.0 0.400
h519 21085.4 0.405 0.846 1.0 0.400
h520 20271.9 0.342 0.709 1.0 0.400
h521 19225.3 0.400 0.468 1.0 0.400
h522 17992.1 0.447 0.222 1.0 0.400
h523 16114.7 0.494 0.008 1.0 0.400
h524 17627.2 0.332 0.004 1.0 0.400
h525 16598.5 0.392 0.000 1.0 0.400
h526 16922.6 0.510 0.005 1.0 0.400
h527 16229.2 0.389 0.000 1.0 0.400
h528 15750.8 0.436 0.000 1.0 0.400
h529 15956.7 0.300 0.000 1.0 0.400
h530 16490.4 0.317 0.036 1.0 0.400
h531 18673.5 0.495 0.000 1.0 0.400
h532 17484.9 0.530 0.000 1.0 0.400
h533 18989.2 0.441 0.000 1.0 0.400
h534 20160.8 0.375 0.034 1.0 0.400
h535 20079.4 0.368 0.054 1.0 0.400
h536 22941.4 0.392 0.293 1.0 0.400
h537 22582.2 0.368 0.504 1.0 0.400
h538 22390.2 0.485 0.751 1.0 0.400
h539 23082.6 0.469 0.851 1.0 0.400
h540 24280.8 0.556 0.960 1.0 0.400
h541 22336.7 0.517 0.973 1.0 0.400
h542 22053.1 0.355 1.000 1.0 0.400
h543 21974.5 0.475 0.906 1.0 0.400
h544 20511.1 0.337 0.701 1.0 0.400
h545 21748.0 0.273 0.452 1.0 0.400
h546 20179.6 0.462 0.285 1.0 0.400
h547 17879.0 0.465 0.000 1.0 0.400
h548 17622.1 0.433 0.000 1.0 0.400
h549 17757.7 0.533 0.000 1.0 0.400
h550 17649.0 0.387 0.000 1.0 0.400
h551 16508.8 0.430 0.008 1.0 0.400
h552 15335.4 0.333 0.079 1.0 0.400
h553 16807.5 0.486 0.021 1.0 0.400
h554 17367.1 0.393 0.000 1.0 0.400
h555 19194.8 0.417 0.026 1.0 0.400
h556 17604.1 0.463 0.003 1.0 0.400
h557 18282.9 0.377 0.000 1.0 0.400
h558 20300.8 0.479 0.031 1.0 0.400
h559 20789.5 0.241 0.000 1.0 0.400
h560 20723.3 0.474 0.252 1.0 0.400
h561 22386.6 0.398 0.475 1.0 0.400
h562 21184.5 0.310 0.726 1.0 0.400
h563 21580.5 0.550 0.863 1.0 0.400
h564 20711.3 0.580 0.915 1.0 0.400
h565 22105.4 0.323 1.000 1.0 0.400
h566 20564.1 0.383 1.000 1.0 0.400
h567 21924.5 0.366 0.826 1.0 0.400
h568 20844.3 0.401 0.752 1.0 0.400
h569 18327.5 0.452 0.497 1.0 0.400
h570 18465.5 0.478 0.277 1.0 0.400
h571 18227.5 0.395 0.000 1.0 0.400
h572 17748.2 0.283 0.000 1.0 0.400
h573 17323.5 0.388 0.020 1.0 0.400
h574 16594.6 0.484 0.000 1.0 0.400
h575 16999.1 0.370 0.000 1.0 0.400
h576 13927.6 0.338 0.014 1.0 0.400
h577 15284.8 0.414 0.000 1.0 0.400
h578 16372.2 0.543 0.000 1.0 0.400
h579 16501.1 0.355 0.040 1.0 0.400
h580 17150.5 0.401 0.000 1.0 0.400
